OBJECTID,location,population,population_white,population_white_only,population_hispanic,population_black,population_asian,population_native,population_native_islander,population_other,population_two_or_more,male_population,population_white_male,population_white_only_male,population_hispanic_male,population_black_male,population_asian_male,population_native_male,population_native_islander_male,population_other_male,population_two_or_more_male,female_population,population_white_female,population_white_only_female,population_hispanic_female,population_black_female,population_asian_female,population_native_female,population_native_islander_female,population_other_female,population_two_or_more_female,pct_white,pct_white_only,pct_hispanic,pct_black,pct_asian,pct_native,pct_native_islander,pct_other,pct_two_or_more,pop_num,pop_white_num,pop_black_num,pop_white_only_num,pop_hispanic_num,pop_native_islander_num,pop_other_num,pop_two_or_more_num,pop_native_num,pop_asian_num,majority_race,GEOIDFQ
1932,"Ellis County, Oklahoma",3717,3256,3118,330,9,34,71,0,76,271,1820,1614,1541,154,5,14,43,0,47,97,1897,1642,1577,176,4,20,28,0,29,174,87.59752489,83.88485338,8.878127522,0.242130751,0.914716169,1.910142588,0,2.044659672,7.290825935,3717,3256,9,3118,330,0,76,271,71,34,White,0500000US40045
1933,"Perry County, Illinois",20810,18000,17785,731,1661,135,15,0,251,748,11237,9187,9021,585,1409,41,9,0,156,435,9573,8813,8764,146,252,94,6,0,95,313,86.4968765,85.46371937,3.512734262,7.981739548,0.648726574,0.07208073,0,1.206150889,3.594425757,20810,18000,1661,17785,731,0,251,748,15,135,White,0500000US17145
1934,"Grundy County, Iowa",12352,11876,11806,189,86,57,31,0,108,194,6144,5975,5931,112,16,12,3,0,32,106,6208,5901,5875,77,70,45,28,0,76,88,96.14637306,95.57966321,1.53011658,0.696243523,0.461463731,0.250971503,0,0.874352332,1.570595855,12352,11876,86,11806,189,0,108,194,31,57,White,0500000US19075
1935,"Routt County, Colorado",24990,21236,20351,2180,52,215,141,35,530,2781,13106,11168,10788,1134,35,136,61,3,308,1395,11884,10068,9563,1046,17,79,80,32,222,1386,84.9779912,81.43657463,8.723489396,0.208083233,0.860344138,0.56422569,0.140056022,2.120848339,11.12845138,24990,21236,52,20351,2180,35,530,2781,141,215,White,0500000US08107
1936,"Somerset County, New Jersey",346203,187337,175148,59019,33339,66196,1352,49,27101,30829,170560,92230,86004,29986,15907,32630,836,16,13431,15510,175643,95107,89144,29033,17432,33566,516,33,13670,15319,54.11189389,50.59112717,17.04751259,9.629899221,19.12057377,0.390522324,0.014153546,7.828066192,8.904891061,346203,187337,33339,175148,59019,49,27101,30829,1352,66196,White,0500000US34035
1937,"Colusa County, California",21895,11210,6869,13639,311,145,308,14,5553,4354,11300,5498,3330,7094,235,104,182,2,3137,2142,10595,5712,3539,6545,76,41,126,12,2416,2212,51.19890386,31.37245947,62.2927609,1.42041562,0.662251656,1.406713862,0.063941539,25.36195478,19.88581868,21895,11210,311,6869,13639,14,5553,4354,308,145,Hispanic/Latino,0500000US06011
1938,"Johnson County, Illinois",13350,10971,10813,567,1010,33,0,0,100,1236,7606,5819,5699,373,970,12,0,0,21,784,5744,5152,5114,194,40,21,0,0,79,452,82.17977528,80.99625468,4.247191011,7.565543071,0.247191011,0,0,0.74906367,9.258426966,13350,10971,1010,10813,567,0,100,1236,0,33,White,0500000US17087
1939,"Hinsdale County, Colorado",939,816,806,29,19,0,26,0,0,78,465,376,376,11,19,0,19,0,0,51,474,440,430,18,0,0,7,0,0,27,86.90095847,85.83599574,3.088391906,2.02342918,0,2.768903088,0,0,8.306709265,939,816,19,806,29,0,0,78,26,0,White,0500000US08053
1940,"Cassia County, Idaho",25165,18194,16420,7408,21,74,254,4,3375,3243,12928,9157,8361,3906,6,42,102,1,1908,1712,12237,9037,8059,3502,15,32,152,3,1467,1531,72.29882774,65.24935426,29.43771111,0.083449235,0.294059209,1.009338367,0.015895092,13.4114842,12.88694616,25165,18194,21,16420,7408,4,3375,3243,254,74,White,0500000US16031
1941,"Isanti County, Minnesota",41934,38796,38502,1009,435,858,149,4,291,1401,21218,19719,19596,449,182,395,80,0,98,744,20716,19077,18906,560,253,463,69,4,193,657,92.51681213,91.8157104,2.406162064,1.037344398,2.046072399,0.355320265,0.009538799,0.693947632,3.340964373,41934,38796,435,38502,1009,4,291,1401,149,858,White,0500000US27059
1942,"Erie County, Pennsylvania",269544,225040,221949,12487,18596,5320,376,49,3457,16706,133911,110994,109538,6386,9856,2631,169,13,1762,8486,135633,114046,112411,6101,8740,2689,207,36,1695,8220,83.48915205,82.3424005,4.632638827,6.899059152,1.973703737,0.139494851,0.01817885,1.282536432,6.19787493,269544,225040,18596,221949,12487,49,3457,16706,376,5320,White,0500000US42049
1943,"Copiah County, Mississippi",27994,12090,12090,1150,14196,92,2,0,924,690,13364,5904,5904,529,6641,79,2,0,480,258,14630,6186,6186,621,7555,13,0,0,444,432,43.18782596,43.18782596,4.108023148,50.71086661,0.328641852,0.007144388,0,3.300707294,2.464813889,27994,12090,14196,12090,1150,0,924,690,2,92,Black,0500000US28029
1944,"Van Zandt County, Texas",61323,54161,49913,7835,1667,282,191,8,1260,3754,30161,26319,24268,4131,780,114,133,8,738,2069,31162,27842,25645,3704,887,168,58,0,522,1685,88.32085841,81.39360436,12.7766091,2.718392773,0.459860085,0.311465519,0.013045676,2.054693997,6.121683545,61323,54161,1667,49913,7835,8,1260,3754,191,282,White,0500000US48467
1945,"Roanoke County, Virginia",96793,81848,80473,3691,6161,3520,262,27,1200,3775,46903,39679,39008,1778,3126,1621,134,12,592,1739,49890,42169,41465,1913,3035,1899,128,15,608,2036,84.55983387,83.1392766,3.813292284,6.36512971,3.636626616,0.270680731,0.027894579,1.239759073,3.900075419,96793,81848,6161,80473,3691,27,1200,3775,262,3520,White,0500000US51161
1946,"Augusta County, Virginia",77713,69972,68690,2931,3320,327,161,78,1462,2393,39868,34981,34232,1664,2431,158,149,8,790,1351,37845,34991,34458,1267,889,169,12,70,672,1042,90.03898962,88.38932997,3.77156975,4.272129502,0.42077902,0.207172545,0.100369308,1.881281124,3.079278885,77713,69972,3320,68690,2931,78,1462,2393,161,327,White,0500000US51015
1947,"Bristol Bay Borough, Alaska",878,423,421,73,5,61,213,12,27,137,536,282,281,47,5,39,112,3,25,70,342,141,140,26,0,22,101,9,2,67,48.17767654,47.9498861,8.314350797,0.569476082,6.9476082,24.25968109,1.366742597,3.075170843,15.60364465,878,423,5,421,73,12,27,137,213,61,White,0500000US02060
1948,"Columbia County, Oregon",53178,46262,45192,3388,301,341,527,205,469,5073,27014,23250,22806,1965,234,82,308,10,187,2943,26164,23012,22386,1423,67,259,219,195,282,2130,86.99462184,84.98251156,6.3710557,0.566023544,0.641242619,0.99101132,0.385497762,0.881943661,9.539659258,53178,46262,301,45192,3388,205,469,5073,527,341,White,0500000US41009
