OBJECTID,location,median,median_white,median_white_only,median_hispanic,median_black_only,median_asian,median_native,median_native_islander,median_other,median_two_or_more,All_Crime,Violent_Crime,Murder_and_Nonnegligent_Manslaughter,Rape,Robbery,Aggravated_Assault,Property_Crime,Burglary,Larceny_theft,Motor_Vehicle_Theft,Arson,Metropolitan_Nonmetropolitan,crime_majority,pct_violent,pct_murder,pct_rape,pct_robbery,pct_assault,pct_property,pct_burglary,pct_larceny,pct_vehicle,pct_arson,majority_race,population,population_white,population_white_only,population_hispanic,population_black,population_asian,population_native,population_native_islander,population_other,population_two_or_more,male_population,population_white_male,population_white_only_male,population_hispanic_male,population_black_male,population_asian_male,population_native_male,population_native_islander_male,population_other_male,population_two_or_more_male,female_population,population_white_female,population_white_only_female,population_hispanic_female,population_black_female,population_asian_female,population_native_female,population_native_islander_female,population_other_female,population_two_or_more_female,pct_white,pct_white_only,pct_hispanic,pct_black,pct_asian,pct_native,pct_native_islander,pct_other,pct_two_or_more,Shape_Length,Shape_Area,GEOIDFQ
1259,"Yakima County, Washington",68015,72050,74812,60166,50592,81771,59794,85152,61646,59855,2382,162,10,19,13,120,1028,286,521,221,2,Metropolitan County,Property Crimes,6.801007557,0.419815281,0.797649034,0.545759866,5.037783375,43.15701092,12.00671704,21.87237615,9.277917716,0.083963056,White,256605,135600,102978,132408,2094,2989,8691,1133,48420,57678,128666,66202,50678,67396,1360,1365,4297,773,25592,29077,127939,69398,52300,65012,734,1624,4394,360,22828,28601,52.84386508,40.13094055,51.59992985,0.816040217,1.164825315,3.386917636,0.441534654,18.86946864,22.47734845,5.841293877,1.307315073,0500000US53077
1260,"Washington County, Arkansas",66426,69906,70614,60563,47514,60781,65754,62948,62448,55731,827,146,3,22,1,120,266,84,134,48,3,Metropolitan County,Property Crimes,17.6541717,0.362756953,2.660217654,0.120918984,14.51027811,32.16444982,10.15719468,16.20314389,5.804111245,0.362756953,White,251863,169308,157981,46214,8017,6041,2626,6838,13780,45253,126651,84085,78307,23665,4471,2991,1601,3666,6677,23160,125212,85223,79674,22549,3546,3050,1025,3172,7103,22093,67.22225972,62.7249735,18.34886426,3.18307969,2.398526183,1.042630319,2.714968058,5.471228406,17.96730762,2.289932347,0.246450553,0500000US05143
1261,"Henderson County, Texas",63955,66176,65493,69460,50741,82986,0,39028,64776,47286,1248,125,3,31,5,86,499,174,253,72,0,Nonmetropolitan County,Property Crimes,10.01602564,0.240384615,2.483974359,0.400641026,6.891025641,39.98397436,13.94230769,20.2724359,5.769230769,0,White,83658,67374,62931,11964,4430,591,312,87,1706,9158,41288,33052,30618,6166,2230,315,164,47,921,4559,42370,34322,32313,5798,2200,276,148,40,785,4599,80.5350355,75.2241268,14.30108298,5.295369241,0.70644768,0.372946998,0.103994836,2.039255062,10.94695068,3.118369637,0.234969042,0500000US48213
1262,"Eau Claire County, Wisconsin",71834,72473,72498,71771,56786,63836,0,0,179167,69608,209,5,1,3,0,1,99,22,69,8,1,Metropolitan County,Property Crimes,2.392344498,0.4784689,1.435406699,0,0.4784689,47.36842105,10.52631579,33.01435407,3.827751196,0.4784689,White,106328,94438,93370,3210,1327,4269,321,94,1133,4746,52772,46529,46127,1715,866,2086,182,58,733,2318,53556,47909,47243,1495,461,2183,139,36,400,2428,88.81762095,87.81318185,3.018960199,1.248024979,4.014934918,0.30189602,0.088405688,1.065570687,4.463546761,1.976808166,0.189817638,0500000US55035
1263,"Sequatchie County, Tennessee",52260,51736,51650,51964,0,0,0,0,51607,0,273,38,0,1,1,36,97,14,49,34,3,Metropolitan County,Property Crimes,13.91941392,0,0.366300366,0.366300366,13.18681319,35.53113553,5.128205128,17.94871795,12.45421245,1.098901099,White,16409,15304,14986,719,77,130,17,20,366,495,8249,7664,7465,480,40,0,7,0,261,277,8160,7640,7521,239,37,130,10,20,105,218,93.26589067,91.32792979,4.381741727,0.469254677,0.792248156,0.103601682,0.121884332,2.230483271,3.016637211,1.477644251,0.06834296,0500000US47153
1264,"Walker County, Texas",49862,53575,54525,43193,41866,78476,0,0,57955,37453,515,29,1,1,1,26,227,56,139,32,3,Nonmetropolitan County,Property Crimes,5.631067961,0.194174757,0.194174757,0.194174757,5.048543689,44.0776699,10.87378641,26.99029126,6.213592233,0.582524272,White,78292,48459,41681,16931,15921,880,248,303,3139,9342,46296,27697,23254,10495,10346,477,214,72,1598,5892,31996,20762,18427,6436,5575,403,34,231,1541,3450,61.89521279,53.23787871,21.62545343,20.33541103,1.123997343,0.316762888,0.387012722,4.009349614,11.93225361,2.154888196,0.195527524,0500000US48471
1265,"Coconino County, Arizona",69748,80089,80454,57517,38131,96985,48745,21341,50013,57849,,,,,,,,,,,,,,,,,,,,,,,,White,144643,82430,75884,22034,2197,2640,36437,194,7846,12899,71482,41581,38013,11151,995,1189,17420,142,3950,6205,73161,40849,37871,10883,1202,1451,19017,52,3896,6694,56.98858569,52.46296053,15.23336767,1.51891208,1.825183383,25.19098747,0.134123324,5.424389704,8.917818353,12.61884446,4.821767228,0500000US04005
1266,"Monroe County, Florida",82430,87835,89244,70219,63630,83011,125476,0,71348,69960,1035,125,1,5,21,98,392,33,324,35,1,Nonmetropolitan County,Property Crimes,12.07729469,0.096618357,0.483091787,2.028985507,9.468599034,37.87439614,3.188405797,31.30434783,3.381642512,0.096618357,White,81840,59390,53020,19611,6070,959,69,34,3215,12103,42374,31088,27374,10253,3291,386,40,34,1529,6006,39466,28302,25646,9358,2779,573,29,0,1686,6097,72.5684262,64.78494624,23.96260997,7.416911046,1.171798631,0.08431085,0.041544477,3.928396872,14.78861193,10.01735457,1.22552628,0500000US12087
1267,"Tuscarawas County, Ohio",64494,64583,64888,50625,0,0,160294,0,95451,59055,566,33,0,11,1,21,250,62,159,29,0,Nonmetropolitan County,Property Crimes,5.830388693,0,1.943462898,0.176678445,3.71024735,44.16961131,10.9540636,28.09187279,5.123674912,0,White,92585,87374,85624,4070,689,336,34,4,1756,2392,46450,43566,42410,2361,496,169,34,2,990,1193,46135,43808,43214,1709,193,167,0,2,766,1199,94.37165848,92.48150348,4.395960469,0.744181023,0.362909759,0.036723011,0.004320354,1.896635524,2.583571853,1.777308641,0.157130969,0500000US39157
1268,"Capitol Planning Region, Connecticut",91541,101173,104315,54459,64196,128054,44904,48370,48893,66685,,,,,,,,,,,,,,,,,,,,,,,,White,969029,637789,590481,168439,120661,56889,2122,622,64431,86515,474604,312827,289380,82520,58615,28723,1051,253,30479,42656,494425,324962,301101,85919,62046,28166,1071,369,33952,43859,65.81732848,60.93532804,17.38224553,12.45174293,5.870722135,0.218982094,0.064187965,6.649027016,8.928009378,2.963687392,0.293619624,0500000US09110
1269,"Greater Bridgeport Planning Region, Connecticut",87135,104217,109104,55841,63435,120313,43182,0,46555,81282,,,,,,,,,,,,,,,,,,,,,,,,White,326296,192722,174303,85034,41040,17243,1319,180,41740,32052,160029,94397,85397,42779,19217,8177,584,87,21623,15944,166267,98325,88906,42255,21823,9066,735,93,20117,16108,59.06354966,53.41867507,26.06038689,12.57753696,5.284465639,0.404234192,0.055164636,12.7920661,9.822982813,1.418739048,0.066200509,0500000US09120
1270,"Lower Connecticut River Valley Planning Region, Connecticut",101117,105892,106602,71744,54503,84696,76477,0,70673,87453,,,,,,,,,,,,,,,,,,,,,,,,White,174983,143620,140056,13031,8921,6109,334,225,2811,12963,86295,70287,68697,6417,4761,2889,171,88,1498,6601,88688,73333,71359,6614,4160,3220,163,137,1313,6362,82.07654458,80.03977529,7.447009138,5.09820954,3.491196288,0.190875685,0.12858392,1.606441769,7.40814822,1.871713464,0.144277021,0500000US09130
1271,"Naugatuck Valley Planning Region, Connecticut",86365,92947,96281,58368,63945,128438,88750,0,61280,72474,,,,,,,,,,,,,,,,,,,,,,,,White,452303,302936,276403,86804,50684,18171,860,209,29806,49637,221077,147374,135037,43101,24342,8598,472,116,15033,25142,231226,155562,141366,43703,26342,9573,388,93,14773,24495,66.97634108,61.11014077,19.19155964,11.20576251,4.017439637,0.190138027,0.046207962,6.589830269,10.97428052,2.008727049,0.117782358,0500000US09140
1272,"Northeastern Connecticut Planning Region, Connecticut",87564,88725,88993,80833,49192,106712,44290,31726,81900,100858,,,,,,,,,,,,,,,,,,,,,,,,White,95829,84910,83553,4839,1722,1307,189,86,1784,5831,47829,42381,41607,2517,1062,554,149,42,713,2928,48000,42529,41946,2322,660,753,40,44,1071,2903,88.60574565,87.18968162,5.049619635,1.796950819,1.363887758,0.197226309,0.089743188,1.861649396,6.084796878,1.846546862,0.158074632,0500000US09150
1273,"Northwest Hills Planning Region, Connecticut",91035,92988,94591,62902,73004,96929,24250,0,67622,90679,,,,,,,,,,,,,,,,,,,,,,,,White,112848,96043,93305,9442,3072,2457,116,0,3400,7760,56408,47714,46346,4820,1453,1224,48,0,1676,4293,56440,48329,46959,4622,1619,1233,68,0,1724,3467,85.10828725,82.68201475,8.367006947,2.722245853,2.177264994,0.102793138,0,3.012902311,6.876506451,2.37866102,0.226900605,0500000US09160
1274,"South Central Connecticut Planning Region, Connecticut",86266,97900,101010,58279,57700,105945,46776,0,57737,70943,,,,,,,,,,,,,,,,,,,,,,,,White,566803,362498,337620,108273,79175,25059,1221,187,47422,51241,273939,174587,163726,53283,36848,11790,662,107,23872,26073,292864,187911,173894,54990,42327,13269,559,80,23550,25168,63.95484851,59.5656692,19.10240419,13.96869812,4.421112803,0.215418761,0.032992062,8.366575336,9.040354409,2.091115479,0.172506406,0500000US09170
1275,"Southeastern Connecticut Planning Region, Connecticut",84185,88114,90002,51000,55078,97321,54732,0,61775,68037,,,,,,,,,,,,,,,,,,,,,,,,White,279025,212725,199002,40941,15293,10427,1558,0,13188,25834,139744,105427,98882,20732,8065,5027,893,0,6744,13588,139281,107298,100120,20209,7228,5400,665,0,6444,12246,76.23868829,71.320491,14.67287877,5.48087089,3.736941134,0.558372906,0,4.726458203,9.258668578,2.331743178,0.19035354,0500000US09180
1276,"Western Connecticut Planning Region, Connecticut",124553,144606,148387,81426,76317,171208,69615,179706,72972,92470,,,,,,,,,,,,,,,,,,,,,,,,White,621232,398099,371057,123865,64185,33292,1850,297,52162,71347,305192,196544,182928,62178,30097,15653,870,161,26141,35726,316040,201555,188129,61687,34088,17639,980,136,26021,35621,64.08217864,59.72921549,19.93860587,10.33188889,5.359028511,0.297795349,0.047808226,8.396541067,11.48475932,2.46271896,0.180391616,0500000US09190
1277,"Norfolk city, Virginia",64017,81510,82321,57276,46049,72805,56375,0,52047,62360,,,,,,,,,,,,,,,,,,,,,,,,White,235037,103421,97557,23196,93540,8610,1163,294,9132,18877,119273,55143,52109,12906,43641,4122,809,140,5099,10319,115764,48278,45448,10290,49899,4488,354,154,4033,8558,44.00200819,41.50708186,9.869084442,39.79798925,3.66325302,0.49481571,0.125086688,3.885345712,8.031501423,0.791107946,0.025250371,0500000US51710
1278,"Reeves County, Texas",56056,56611,114057,51616,0,0,0,0,42189,101429,416,12,0,1,0,11,196,17,149,30,0,Nonmetropolitan County,Property Crimes,2.884615385,0,0.240384615,0,2.644230769,47.11538462,4.086538462,35.81730769,7.211538462,0,Hispanic/Latino,13219,5507,1619,11206,201,50,161,2,4390,2908,7846,3320,1067,6559,193,11,131,0,2442,1749,5373,2187,552,4647,8,39,30,2,1948,1159,41.6597322,12.24752251,84.77191921,1.520538619,0.378243437,1.217943869,0.015129737,33.20977381,21.99863832,4.59337469,0.648431714,0500000US48389
1279,"Pulaski County, Virginia",60767,62376,61988,77344,35284,0,0,0,0,60000,765,43,1,19,2,21,339,40,271,28,1,Metropolitan County,Property Crimes,5.620915033,0.130718954,2.483660131,0.261437908,2.745098039,44.31372549,5.22875817,35.4248366,3.660130719,0.130718954,White,33771,30781,30352,725,1558,193,6,86,186,961,16968,15414,15217,284,939,109,5,33,67,401,16803,15367,15135,441,619,84,1,53,119,560,91.14624974,89.87592905,2.146812354,4.61342572,0.571496254,0.017766723,0.254656362,0.550768411,2.845636789,1.552843731,0.086447856,0500000US51155
1280,"Union County, North Carolina",99243,103573,104682,79764,74560,220789,87292,0,71811,80792,2890,202,2,53,6,141,1240,245,891,104,6,Metropolitan County,Property Crimes,6.989619377,0.069204152,1.833910035,0.207612457,4.878892734,42.90657439,8.477508651,30.83044983,3.598615917,0.207612457,White,244975,174145,166556,31683,27397,10002,1086,58,14837,17450,121676,86628,82735,16077,13317,4903,384,6,7549,8889,123299,87517,83821,15606,14080,5099,702,52,7288,8561,71.0868456,67.98897847,12.93315644,11.18359016,4.082865599,0.443310542,0.023675885,6.056536381,7.123175834,1.779504789,0.163557807,0500000US37179
1281,"McKenzie County, North Dakota",88289,87808,88571,82120,153451,0,104375,0,173017,79845,186,12,1,1,0,10,80,12,49,19,2,Nonmetropolitan County,Property Crimes,6.451612903,0.537634409,0.537634409,0,5.376344086,43.01075269,6.451612903,26.34408602,10.21505376,1.075268817,White,14280,11438,10643,1602,306,132,1321,0,225,858,7691,6121,5656,889,236,39,800,0,39,456,6589,5317,4987,713,70,93,521,0,186,402,80.09803922,74.53081232,11.21848739,2.142857143,0.924369748,9.25070028,0,1.575630252,6.008403361,5.031620801,0.888481622,0500000US38053
1282,"Okaloosa County, Florida",79097,84800,85073,65917,57157,64250,54427,100424,58500,74940,,,,,,,,,,,,,,,,,,,,,,,,White,214281,156300,150139,23230,20037,7140,747,561,8326,21170,108812,79476,76376,11765,10643,2607,408,384,4281,11013,105469,76824,73763,11465,9394,4533,339,177,4045,10157,72.94160472,70.06640813,10.84090517,9.350805718,3.332073306,0.348607669,0.26180576,3.885552149,9.879550683,2.335283798,0.303752839,0500000US12091
1283,"Alameda County, California",126240,141943,145870,96419,70046,165828,100266,118107,83754,121369,5943,776,8,34,196,538,2182,257,1212,713,27,Metropolitan County,Property Crimes,13.05737843,0.134612149,0.572101632,3.297997644,9.052667003,36.71546357,4.324415278,20.39374054,11.99730776,0.454316002,Asian,1651949,528396,466445,385245,163859,532550,14764,12309,213185,186886,819520,266615,235271,195367,79515,257894,7392,5817,109282,93005,832429,261781,231174,189878,84344,274656,7372,6492,103903,93881,31.98621749,28.23604119,23.3206352,9.919131886,32.23767804,0.893732191,0.745119855,12.90505942,11.31306112,2.548777568,0.217152845,0500000US06001
1284,"Calhoun County, Illinois",92095,91892,91892,71250,0,0,0,0,0,0,34,7,0,0,0,7,10,0,8,2,0,Metropolitan County,Property Crimes,20.58823529,0,0,0,20.58823529,29.41176471,0,23.52941176,5.882352941,0,White,4406,4183,4179,42,45,1,5,0,6,166,2272,2104,2104,33,30,0,4,0,5,129,2134,2079,2075,9,15,1,1,0,1,37,94.93871993,94.84793463,0.953245574,1.021334544,0.022696323,0.113481616,0,0.136177939,3.76758965,1.812250014,0.076553576,0500000US17013
1285,"Kosciusko County, Indiana",73922,74435,74493,67177,39091,118180,0,0,99938,50571,634,79,0,10,1,68,237,40,165,32,2,Nonmetropolitan County,Property Crimes,12.46056782,0,1.577287066,0.157728707,10.72555205,37.38170347,6.309148265,26.02523659,5.047318612,0.315457413,White,80357,70634,68887,7643,573,1184,199,0,2735,5032,40207,35054,34129,3955,443,741,103,0,1683,2183,40150,35580,34758,3688,130,443,96,0,1052,2849,87.90024516,85.72619685,9.511305798,0.713067934,1.473424842,0.247644885,0,3.403561606,6.262055577,1.64076709,0.154239468,0500000US18085
1286,"Noxubee County, Mississippi",38814,56716,56776,0,29258,0,0,0,0,0,94,22,0,0,0,22,25,6,11,8,0,Nonmetropolitan County,Property Crimes,23.40425532,0,0,0,23.40425532,26.59574468,6.382978723,11.70212766,8.510638298,0,Black,10136,2574,2568,19,7485,3,27,0,22,25,4664,1166,1160,19,3438,3,23,0,22,12,5472,1408,1408,0,4047,0,4,0,0,13,25.39463299,25.33543804,0.187450671,73.8456985,0.029597474,0.266377269,0,0.217048145,0.24664562,1.696085044,0.175187063,0500000US28103
1287,"Woodruff County, Arkansas",49982,54953,55000,9688,26065,0,0,0,0,0,75,10,0,0,0,10,27,8,10,9,1,Nonmetropolitan County,Property Crimes,13.33333333,0,0,0,13.33333333,36,10.66666667,13.33333333,12,1.333333333,White,6157,4289,4279,36,1671,0,1,22,22,152,3149,2164,2164,23,866,0,1,22,22,74,3008,2125,2115,13,805,0,0,0,0,78,69.66054897,69.49813221,0.584700341,27.13984083,0,0.016241676,0.357316875,0.357316875,2.468734773,2.610058247,0.1522763,0500000US05147
1288,"Gloucester County, New Jersey",102807,107789,108309,85388,74456,122207,0,0,89309,106550,8,0,0,0,0,0,4,2,2,0,0,Metropolitan County,Property Crimes,0,0,0,0,0,50,25,25,0,0,White,304504,234706,228951,23885,32642,9342,333,142,9232,18107,149151,115549,112571,12036,15011,4349,172,76,4676,9318,155353,119157,116380,11849,17631,4993,161,66,4556,8789,77.07813362,75.18817487,7.843903528,10.71972782,3.067939994,0.109358169,0.046633213,3.031815674,5.946391509,1.810873397,0.091609119,0500000US34015
1289,"Hillsborough County, New Hampshire",100436,102335,102876,71954,77456,118313,110417,0,64563,82725,2,0,0,0,0,0,1,0,1,0,0,Metropolitan County,Property Crimes,0,0,0,0,0,50,0,50,0,0,White,424732,353822,343814,35041,10947,17966,545,46,8878,32528,212913,176294,171263,18126,6158,8816,247,0,4619,16779,211819,177528,172551,16915,4789,9150,298,46,4259,15749,83.3047663,80.94845691,8.25014362,2.577389978,4.229961482,0.128316209,0.010830359,2.090259269,7.658476404,2.601038285,0.254827602,0500000US33011
1290,"Judith Basin County, Montana",55417,60208,60521,0,0,0,0,0,0,98750,4,2,0,0,0,2,0,0,0,0,0,Nonmetropolitan County,Violent Crimes,50,0,0,0,50,0,0,0,0,0,White,2053,1883,1877,121,0,0,25,0,118,27,1112,1011,1008,66,0,0,20,0,66,15,941,872,869,55,0,0,5,0,52,12,91.71943497,91.42717974,5.893813931,0,0,1.217730151,0,5.747686313,1.315148563,3.873051726,0.573449191,0500000US30045
1291,"Mitchell County, North Carolina",58089,58267,58214,83315,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,White,14973,13794,13700,790,118,63,53,0,370,575,7375,6762,6738,391,49,30,40,0,184,310,7598,7032,6962,399,69,33,13,0,186,265,92.12582649,91.49802979,5.276163761,0.78808522,0.420757363,0.35397048,0,2.471114673,3.840245776,1.701924136,0.057450667,0500000US37121
1292,"Powell County, Montana",63432,61038,61483,0,0,141279,0,0,0,83125,56,15,0,1,0,14,13,0,11,2,0,Nonmetropolitan County,Violent Crimes,26.78571429,0,1.785714286,0,25,23.21428571,0,19.64285714,3.571428571,0,White,7029,6190,6146,160,87,133,321,0,37,261,4486,3849,3826,127,53,66,315,0,27,176,2543,2341,2320,33,34,67,6,0,10,85,88.06373595,87.43775786,2.276283966,1.237729407,1.892161047,4.566794708,0,0.526390667,3.71318822,5.139339688,0.712558034,0500000US30077
1293,"Polk County, Oregon",81318,82595,83153,67077,0,57250,54128,24196,122679,77500,500,43,3,3,6,31,204,52,133,19,6,Metropolitan County,Property Crimes,8.6,0.6,0.6,1.2,6.2,40.8,10.4,26.6,3.8,1.2,White,88553,70700,66358,13459,669,1587,1469,372,4489,9267,43576,34131,32154,6943,456,800,650,115,2399,5025,44977,36569,34204,6516,213,787,819,257,2090,4242,79.83919235,74.93591409,15.19880749,0.755479769,1.792147076,1.658893544,0.420087405,5.069280544,10.46491931,2.211643146,0.219589112,0500000US41053
1294,"Wasco County, Oregon",63602,62416,63036,60500,0,0,63750,0,90096,64609,222,17,0,1,0,16,93,17,68,8,2,Nonmetropolitan County,Property Crimes,7.657657658,0,0.45045045,0,7.207207207,41.89189189,7.657657658,30.63063063,3.603603604,0.900900901,White,26603,21177,19223,5260,114,226,545,135,782,3624,13504,10609,9588,2899,102,60,291,78,432,1932,13099,10568,9635,2361,12,166,254,57,350,1692,79.60380408,72.25876781,19.77220614,0.428523099,0.849528249,2.048641131,0.507461564,2.939518099,13.62252378,5.47817593,0.709855683,0500000US41065
1295,"Perkins County, South Dakota",65455,67857,69464,0,0,0,0,0,0,0,24,1,0,0,0,1,11,3,5,3,0,Nonmetropolitan County,Property Crimes,4.166666667,0,0,0,4.166666667,45.83333333,12.5,20.83333333,12.5,0,White,3058,2895,2875,26,0,18,76,0,10,59,1535,1440,1420,22,0,5,64,0,2,24,1523,1455,1455,4,0,13,12,0,8,35,94.66971877,94.01569653,0.850228908,0,0.588620013,2.4852845,0,0.327011118,1.929365598,3.726825736,0.861536674,0500000US46105
1296,"Taylor County, Iowa",67279,67132,67861,56538,0,0,0,0,65000,70750,39,3,1,0,0,2,16,6,7,3,1,Nonmetropolitan County,Property Crimes,7.692307692,2.564102564,0,0,5.128205128,41.02564103,15.38461538,17.94871795,7.692307692,2.564102564,White,5901,5434,5266,461,7,3,7,0,204,246,2939,2716,2671,202,7,3,7,0,87,119,2962,2718,2595,259,0,0,0,0,117,127,92.0860871,89.23911201,7.812235214,0.118623962,0.050838841,0.118623962,0,3.457041179,4.168784952,1.571963298,0.147626918,0500000US19173
1297,"Washington County, Alabama",60503,69322,69322,0,27727,0,148479,0,0,0,206,24,0,0,1,23,78,20,46,12,2,Nonmetropolitan County,Property Crimes,11.65048544,0,0,0.485436893,11.16504854,37.86407767,9.708737864,22.33009709,5.825242718,0.970873786,White,15270,10220,10013,255,3463,43,983,0,14,547,7600,4945,4926,38,1896,43,378,0,0,338,7670,5275,5087,217,1567,0,605,0,14,209,66.92861821,65.57301899,1.669941061,22.67845449,0.281597904,6.43745907,0,0.091683039,3.582187295,2.632998022,0.267395513,0500000US01129
1298,"Defiance County, Ohio",73615,75008,75817,52799,0,60833,0,0,50489,82951,205,9,0,2,0,7,93,17,72,4,1,Nonmetropolitan County,Property Crimes,4.390243902,0,0.975609756,0,3.414634146,45.36585366,8.292682927,35.12195122,1.951219512,0.487804878,White,38258,33909,32612,4096,646,122,114,0,1080,2387,19212,16663,16204,2131,466,28,54,0,622,1379,19046,17246,16408,1965,180,94,60,0,458,1008,88.63244289,85.24230226,10.70625751,1.688535731,0.318887553,0.297976894,0,2.822938993,6.239217941,1.674026738,0.115369385,0500000US39039
1299,"Greenbrier County, West Virginia",48662,49686,49384,250000,42936,-2500,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,White,32688,30363,30006,599,724,173,36,17,97,1278,15752,14804,14709,232,331,97,11,0,29,480,16936,15559,15297,367,393,76,25,17,68,798,92.88729809,91.79515419,1.83247675,2.214880078,0.529246207,0.110132159,0.052006853,0.296744983,3.90969163,3.018120308,0.271981795,0500000US54025
1300,"Marion County, Illinois",60839,61209,61106,91719,0,0,98750,0,130486,52083,292,34,0,6,1,27,112,31,63,18,0,Nonmetropolitan County,Property Crimes,11.64383562,0,2.054794521,0.342465753,9.246575342,38.35616438,10.61643836,21.57534247,6.164383562,0,White,37294,33714,33408,798,1572,251,7,7,444,1299,18330,16521,16402,401,828,98,4,0,247,632,18964,17193,17006,397,744,153,3,7,197,667,90.40060063,89.58009331,2.139754384,4.215155253,0.673030514,0.018769775,0.018769775,1.190540033,3.483134016,1.59212548,0.154405224,0500000US17121
1301,"Dickenson County, Virginia",43831,43681,43733,0,0,0,0,0,0,39375,76,9,0,1,1,7,29,8,18,3,0,Nonmetropolitan County,Property Crimes,11.84210526,0,1.315789474,1.315789474,9.210526316,38.15789474,10.52631579,23.68421053,3.947368421,0,White,13920,13611,13580,101,141,31,22,0,22,93,7114,6989,6958,44,70,12,18,0,4,21,6806,6622,6622,57,71,19,4,0,18,72,97.78017241,97.55747126,0.725574713,1.012931034,0.222701149,0.158045977,0,0.158045977,0.668103448,1.382164779,0.0876013,0500000US51051
1302,"Amelia County, Virginia",66339,67270,67270,0,56941,0,0,0,0,62330,202,26,1,3,1,21,75,2,56,17,0,Metropolitan County,Property Crimes,12.87128713,0.495049505,1.485148515,0.495049505,10.3960396,37.12871287,0.99009901,27.72277228,8.415841584,0,White,13342,9785,9778,252,2714,1,0,0,0,842,6641,4768,4768,131,1280,1,0,0,0,592,6701,5017,5010,121,1434,0,0,0,0,250,73.33982911,73.28736321,1.888772298,20.34177784,0.007495128,0,0,0,6.310897916,1.837416269,0.094412527,0500000US51007
1303,"Randolph County, Georgia",25425,47610,47610,0,21350,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Black,6270,1718,1709,223,4246,9,0,0,71,226,2804,820,814,151,1823,9,0,0,60,92,3466,898,895,72,2423,0,0,0,11,134,27.40031898,27.25677831,3.55661882,67.71929825,0.14354067,0,0,1.132376396,3.60446571,1.680345686,0.106235569,0500000US13243
1304,"Luna County, New Mexico",37917,40507,45321,33684,0,0,48359,0,45313,26890,,,,,,,,,,,,,,,,,,,,,,,,Hispanic/Latino,25420,13967,7392,16917,484,233,258,14,2092,8372,12926,6966,3734,8499,241,160,195,0,1143,4221,12494,7001,3658,8418,243,73,63,14,949,4151,54.94492526,29.07946499,66.54996066,1.904012589,0.916601101,1.014948859,0.055074744,8.229740362,32.93469709,3.507013374,0.734422684,0500000US35029
1305,"Nueces County, Texas",66021,72396,82900,59436,41657,101044,62639,0,54395,58956,405,63,0,8,0,55,139,39,81,19,1,Metropolitan County,Property Crimes,15.55555556,0,1.975308642,0,13.58024691,34.32098765,9.62962963,20,4.691358025,0.24691358,Hispanic/Latino,352829,193284,105486,219138,14126,8322,1554,99,19076,116368,175595,95924,53262,108033,7359,4058,805,26,9430,57993,177234,97360,52224,111105,6767,4264,749,73,9646,58375,54.78121129,29.89720233,62.10884026,4.003639157,2.358649657,0.440439987,0.028058918,5.40658506,32.98141593,3.445036057,0.276285152,0500000US48355
1306,"Weston County, Wyoming",87545,87238,87238,0,0,0,0,0,0,87000,55,2,0,1,0,1,25,4,15,6,1,Nonmetropolitan County,Property Crimes,3.636363636,0,1.818181818,0,1.818181818,45.45454545,7.272727273,27.27272727,10.90909091,1.818181818,White,6835,5865,5832,238,4,49,153,39,90,635,3729,3174,3157,173,4,16,93,0,72,370,3106,2691,2675,65,0,33,60,39,18,265,85.80833943,85.32553036,3.482077542,0.058522312,0.716898317,2.23847842,0.570592538,1.316752012,9.290416971,3.408378063,0.695661064,0500000US56045
1307,"Toa Baja Municipio, Puerto Rico",29648,29810,0,29602,28958,0,27976,0,29077,30764,,,,,,,,,,,,,,,,,,,,,,,,Hispanic/Latino,73987,18960,383,73438,5100,9,266,0,32746,16906,34261,8433,154,34010,2376,0,134,0,15553,7765,39726,10527,229,39428,2724,9,132,0,17193,9141,25.62612351,0.517658508,99.25797775,6.893102842,0.012164299,0.359522619,0,44.2591266,22.84996013,0.566317169,0.009261169,0500000US72137
1308,"Warren County, Illinois",64650,65164,65428,43125,71711,0,0,0,0,63942,136,11,0,1,1,9,57,32,23,2,0,Nonmetropolitan County,Property Crimes,8.088235294,0,0.735294118,0.735294118,6.617647059,41.91176471,23.52941176,16.91176471,1.470588235,0,White,16576,14067,13544,1791,464,400,199,65,764,617,8311,6871,6581,1016,248,259,144,18,414,357,8265,7196,6963,775,216,141,55,47,350,260,84.8636583,81.70849421,10.80477799,2.799227799,2.413127413,1.200530888,0.392133205,4.609073359,3.722249035,1.560421495,0.150187204,0500000US17187
1309,"Madison County, Alabama",83528,95571,96685,58943,55769,109926,89688,0,43977,78085,3158,286,8,30,9,239,1288,307,813,168,10,Metropolitan County,Property Crimes,9.056364788,0.253324889,0.949968334,0.2849905,7.568081064,40.78530716,9.721342622,25.74414186,5.319822673,0.316656111,White,397135,255048,247502,25948,96369,10270,2224,274,8355,24595,195432,127742,124193,13230,45368,4558,893,111,4233,12527,201703,127306,123309,12718,51001,5712,1331,163,4122,12068,64.22199,62.32188047,6.533798331,24.26605562,2.586022385,0.560011079,0.068994171,2.103818601,6.193108137,2.412973597,0.207254133,0500000US01089
