OBJECTID,Location,median,median_white,median_white_only,median_hispanic,median_black_only,median_asian,median_native,median_native_islander,median_other,median_two_or_more,GEOIDFQ
2536,"Turner County, South Dakota",75283,75547,75734,54375,0,0,0,0,0,85449,0500000US46125
2537,"Cocke County, Tennessee",48416,49091,49136,36228,49123,0,0,0,0,27344,0500000US47029
2538,"Hancock County, Tennessee",31995,32075,32027,0,0,0,0,0,0,17083,0500000US47067
2539,"Hardin County, Tennessee",49149,49662,49963,40854,25273,0,0,0,88603,54671,0500000US47071
2540,"Marion County, South Carolina",34501,45718,45887,51706,29597,0,0,0,57934,31603,0500000US45067
2541,"Guayama Municipio, Puerto Rico",20273,23650,0,20191,15950,0,0,0,18184,18943,0500000US72057
2542,"Washington Parish, Louisiana",42776,52351,52146,70998,30158,0,0,0,0,71455,0500000US22117
2543,"Stoddard County, Missouri",54067,54836,55185,46563,19005,0,0,0,0,45500,0500000US29207
2544,"Dooly County, Georgia",56545,85855,85789,75441,36418,0,0,0,0,39917,0500000US13093
2545,"Stearns County, Minnesota",76447,78689,79019,71489,53129,47774,55909,123333,73993,73821,0500000US27145
2546,"Saunders County, Nebraska",89395,89987,89171,102050,60893,98864,0,0,0,0,0500000US31155
2547,"Sherburne County, Minnesota",102965,104821,105281,92132,77552,96487,250000,0,70132,87292,0500000US27141
2548,"Davison County, South Dakota",61401,63963,64409,53607,0,75000,0,0,51055,93542,0500000US46035
2549,"Claiborne County, Tennessee",46587,47395,47416,35446,0,0,0,0,0,39943,0500000US47025
2550,"Montague County, Texas",62818,63667,63430,59185,0,0,56411,0,57917,52083,0500000US48337
2551,"Brown County, Texas",55305,56602,56052,49909,48125,92500,71667,0,56690,48851,0500000US48049
2552,"Racine County, Wisconsin",75331,81433,81802,59959,48265,67472,83750,0,52963,64605,0500000US55101
2553,"Shawano County, Wisconsin",67032,67858,67890,59803,11167,92708,50156,0,0,51111,0500000US55115
2554,"Audubon County, Iowa",54152,55000,55139,57917,0,0,0,0,92604,0,0500000US19009
2555,"Haskell County, Texas",54044,59464,62012,45250,0,0,0,0,60063,48650,0500000US48207
2556,"Logan County, Oklahoma",82735,84768,84712,84007,39504,131518,62564,0,91198,81974,0500000US40083
2557,"Oneida County, New York",68819,73426,73720,57011,24319,56475,59659,0,32142,59574,0500000US36065
2558,"Lake County, Colorado",93655,96382,92283,93762,0,0,118656,0,0,125481,0500000US08065
2559,"Pittsburg County, Oklahoma",54787,55586,56109,41635,23205,0,52200,0,69643,54917,0500000US40121
2560,"Doddridge County, West Virginia",61164,62284,62284,0,0,0,0,0,0,73333,0500000US54017
2561,"Wirt County, West Virginia",54688,55408,55408,0,0,0,0,0,0,0,0500000US54105
2562,"Carroll County, New Hampshire",82961,82933,83290,0,0,100794,0,0,0,83867,0500000US33003
2563,"Tyler County, West Virginia",58293,58882,58912,-2500,0,0,0,0,0,0,0500000US54095
2564,"Kent County, Michigan",80390,86076,86141,65963,44980,84548,68083,0,69699,60063,0500000US26081
2565,"Pitt County, North Carolina",58851,71114,70924,53750,45500,70893,53061,0,47546,59406,0500000US37147
2566,"Carbon County, Montana",71017,71942,71967,0,23924,0,0,0,0,40278,0500000US30009
2567,"Stanton County, Nebraska",78275,78244,78418,150000,0,0,0,0,165595,39830,0500000US31167
2568,"Appling County, Georgia",43728,51165,51184,28083,28680,0,0,0,29708,0,0500000US13001
2569,"Dukes County, Massachusetts",102348,107708,110344,58995,66250,68616,147946,0,250000,59661,0500000US25007
2570,"McHenry County, North Dakota",80614,81910,82123,81250,-2500,0,0,0,82083,64000,0500000US38049
2571,"Wayne County, Nebraska",67687,67660,67888,46875,0,0,0,0,73676,0,0500000US31179
2572,"LaMoure County, North Dakota",70263,69651,69593,98438,0,0,0,0,0,95250,0500000US38045
2573,"Butte County, Idaho",43281,50577,51490,32550,0,0,0,0,0,0,0500000US16023
2574,"Coos County, New Hampshire",58439,59165,59070,128214,0,99063,0,0,148438,35909,0500000US33007
2575,"Kidder County, North Dakota",61850,63153,63125,55625,0,0,0,0,0,0,0500000US38043
